unique_id	uniprot_domain
A0A087X1C5_chainsaw_003	311-514
A0A087X1G2_chainsaw_001	1-215
A0A087X1G2_chainsaw_002	230-356
A0A096LNP1_chainsaw_001	1-59
A0A096LNW5_chainsaw_001	6-182
A0A096LNW5_chainsaw_002	213-270
A0A096LP01_chainsaw_001	1-88
A0A096LP55_chainsaw_001	3-88
A0A096LPI5_chainsaw_001	25-58
A0A096LPK9_chainsaw_001	11-315
A0A0A0MRZ7_chainsaw_001	24-115
A0A0A0MRZ8_chainsaw_001	24-110
A0A0A0MRZ9_chainsaw_001	23-117
A0A0A0MS00_chainsaw_001	7-109
A0A0A0MS01_chainsaw_001	20-118
A0A0A0MS02_chainsaw_001	22-115
A0A0A0MS03_chainsaw_001	23-113
A0A0A0MS04_chainsaw_001	23-113
A0A0A0MS05_chainsaw_001	23-113
A0A0A0MS06_chainsaw_001	23-114
A0A0A0MS14_chainsaw_001	22-116
A0A0A0MS15_chainsaw_001	22-118
A0A0A0MT36_chainsaw_001	23-109
A0A0A6YYC5_chainsaw_001	23-115
A0A0A6YYD4_chainsaw_001	33-123
A0A0A6YYG2_chainsaw_001	23-113
A0A0A6YYG3_chainsaw_001	23-112
A0A0A6YYJ7_chainsaw_001	22-112
A0A0A6YYK1_chainsaw_001	22-112
A0A0A6YYK4_chainsaw_001	38-114
A0A0A6YYK6_chainsaw_001	22-108
A0A0A6YYK7_chainsaw_001	23-115
A0A0A6YYL3_chainsaw_001	105-335
A0A0A6YYL3_chainsaw_002	376-543
A0A0B4J1T7_chainsaw_001	29-89
A0A0B4J1U3_chainsaw_001	35-110
A0A0B4J1U4_chainsaw_001	37-116
A0A0B4J1U6_chainsaw_001	24-113
A0A0B4J1U7_chainsaw_001	23-120
A0A0B4J1V0_chainsaw_001	22-118
A0A0B4J1V1_chainsaw_001	22-116
A0A0B4J1V2_chainsaw_001	22-118
A0A0B4J1V6_chainsaw_001	22-118
A0A0B4J1V7_chainsaw_001	22-116
A0A0B4J1W7_chainsaw_001	19-222
A0A0B4J1X5_chainsaw_001	22-116
A0A0B4J1X8_chainsaw_001	22-117
A0A0B4J1Y8_chainsaw_001	23-114
A0A0B4J1Y9_chainsaw_001	22-118
A0A0B4J1Z2_chainsaw_001	26-112
A0A0B4J234_chainsaw_001	29-111
A0A0B4J235_chainsaw_001	39-112
A0A0B4J237_chainsaw_001	22-112
A0A0B4J238_chainsaw_001	20-105
A0A0B4J240_chainsaw_001	25-113
A0A0B4J241_chainsaw_001	23-109
A0A0B4J244_chainsaw_001	22-113
A0A0B4J245_chainsaw_001	25-111
A0A0B4J248_chainsaw_001	19-107
A0A0B4J249_chainsaw_001	26-112
A0A0B4J262_chainsaw_001	22-112
A0A0B4J263_chainsaw_001	22-109
A0A0B4J264_chainsaw_001	23-115
A0A0B4J265_chainsaw_001	35-108
A0A0B4J266_chainsaw_001	26-111
A0A0B4J268_chainsaw_001	21-108
A0A0B4J271_chainsaw_001	26-113
A0A0B4J272_chainsaw_001	27-113
A0A0B4J273_chainsaw_001	24-111
A0A0B4J274_chainsaw_001	24-111
A0A0B4J275_chainsaw_001	39-111
A0A0B4J276_chainsaw_001	22-108
A0A0B4J277_chainsaw_001	24-109
A0A0B4J279_chainsaw_001	23-111
A0A0B4J280_chainsaw_001	21-104
A0A0B4J2A2_chainsaw_001	5-163
A0A0B4J2B5_chainsaw_001	3-97
A0A0B4J2B6_chainsaw_001	22-118
A0A0B4J2B8_chainsaw_001	22-116
A0A0B4J2D9_chainsaw_001	26-112
A0A0B4J2E0_chainsaw_001	24-114
A0A0B4J2H0_chainsaw_001	22-116
A0A0C4DGP1_chainsaw_001	1-66
A0A0C4DH24_chainsaw_001	23-109
A0A0C4DH25_chainsaw_001	24-111
A0A0C4DH26_chainsaw_001	24-110
A0A0C4DH27_chainsaw_001	22-116
A0A0C4DH28_chainsaw_001	22-115
A0A0C4DH29_chainsaw_001	22-116
A0A0C4DH30_chainsaw_001	22-116
A0A0C4DH31_chainsaw_001	22-116
A0A0C4DH32_chainsaw_001	22-116
A0A0C4DH33_chainsaw_001	22-116
A0A0C4DH34_chainsaw_001	22-116
A0A0C4DH35_chainsaw_001	22-116
A0A0C4DH36_chainsaw_001	22-115
A0A0C4DH38_chainsaw_001	22-116
A0A0C4DH39_chainsaw_001	22-116
A0A0C4DH41_chainsaw_001	22-117
A0A0C4DH42_chainsaw_001	22-115
A0A0C4DH43_chainsaw_001	22-118
A0A0C4DH55_chainsaw_001	27-114
A0A0C4DH59_chainsaw_001	23-113
A0A0C4DH67_chainsaw_001	24-110
A0A0C4DH68_chainsaw_001	24-115
A0A0C4DH69_chainsaw_001	26-112
A0A0C4DH72_chainsaw_001	26-112
A0A0C4DH73_chainsaw_001	26-112
A0A0C4DH90_chainsaw_001	24-111
A0A0D9SF12_chainsaw_001	7-125
A0A0G2JLG4_chainsaw_001	5-89
A0A0G2JLG4_chainsaw_002	103-291_333-404
A0A0G2JLW4_chainsaw_001	30-130
A0A0G2JMD5_chainsaw_001	9-155
A0A0G2JMD5_chainsaw_002	162-453
A0A0G2JMH3_chainsaw_001	2-83
A0A0G2JMI3_chainsaw_001	22-116
A0A0G2JMM0_chainsaw_001	30-118
A0A0G2JMM0_chainsaw_002	119-217
A0A0G2JMM0_chainsaw_003	218-316
A0A0G2JN01_chainsaw_001	30-118
A0A0G2JN01_chainsaw_002	119-217
A0A0G2JN01_chainsaw_003	218-316
A0A0G2JN68_chainsaw_001	30-117
A0A0G2JN68_chainsaw_002	118-216
A0A0G2JND7_chainsaw_001	1-135
A0A0G2JNF4_chainsaw_001	30-122
A0A0G2JNF4_chainsaw_002	123-221
A0A0G2JNH3_chainsaw_001	11-315
A0A0G2JNJ9_chainsaw_001	15-117
A0A0G2JRQ6_chainsaw_001	26-112
A0A0G2JS06_chainsaw_001	23-117
A0A0J9YVY3_chainsaw_001	22-116
A0A0J9YW62_chainsaw_001	18-117
A0A0J9YWL9_chainsaw_001	15-85
A0A0J9YWU9_chainsaw_001	22-115
A0A0J9YX35_chainsaw_001	22-116
A0A0J9YX57_chainsaw_001	195-404
A0A0J9YX75_chainsaw_001	23-113
A0A0J9YX94_chainsaw_001	1-89
A0A0J9YX94_chainsaw_002	225-330
A0A0J9YX94_chainsaw_003	336-438
A0A0J9YXQ4_chainsaw_001	1-92
A0A0J9YXQ4_chainsaw_002	301-398
A0A0J9YXQ4_chainsaw_003	404-496
A0A0J9YXX1_chainsaw_001	22-116
A0A0J9YXY3_chainsaw_001	23-113
A0A0J9YY99_chainsaw_001	22-116
A0A0K0K1A3_chainsaw_001	23-113
A0A0K0K1A5_chainsaw_001	23-113
A0A0K0K1B3_chainsaw_001	20-110
A0A0K0K1C0_chainsaw_001	24-114
A0A0K0K1C4_chainsaw_001	23-113
A0A0K0K1D8_chainsaw_001	23-113
A0A0K0K1E9_chainsaw_001	24-114
A0A0K0K1G6_chainsaw_001	23-113
A0A0K0K1G8_chainsaw_001	23-113
A0A0K2S4Q6_chainsaw_001	11-21_164-191
A0A0K2S4Q6_chainsaw_002	30-138
A0A0M3HER8_chainsaw_001	15-452
A0A0U1RQE8_chainsaw_001	2-132_289-296
A0A0U1RQE8_chainsaw_002	133-286
A0A0U1RQG5_chainsaw_001	76-141
A0A0U1RQI7_chainsaw_001	231-409
A0A0U1RQI7_chainsaw_002	964-1046
A0A0U1RQS6_chainsaw_001	29-88
A0A0U1RR11_chainsaw_001	96-239
A0A0U1RR37_chainsaw_001	3-181
A0A0U1RRA0_chainsaw_001	7-58
A0A0U1RRI6_chainsaw_001	114-261
A0A0U1RRN3_chainsaw_001	1-57
A0A0X1KG70_chainsaw_001	11-312
A0A140TA62_chainsaw_001	96-407
A0A140TA64_chainsaw_001	19-54
A0A140TA67_chainsaw_001	13-42
A0A191URJ7_chainsaw_001	30-121
A0A191URJ7_chainsaw_002	122-221
A0A1B0GTC6_chainsaw_001	1-81
A0A1B0GTD5_chainsaw_001	16-102
A0A1B0GTH9_chainsaw_001	7-100
A0A1B0GTI1_chainsaw_001	108-181
A0A1B0GTI8_chainsaw_001	2-186
A0A1B0GTK4_chainsaw_001	39-167
A0A1B0GTK5_chainsaw_001	12-72
A0A1B0GTL2_chainsaw_001	30-182
A0A1B0GTQ1_chainsaw_001	3-97
A0A1B0GTQ1_chainsaw_002	119-445
A0A1B0GTQ4_chainsaw_001	5-79
A0A1B0GTR0_chainsaw_001	4-138
A0A1B0GTS1_chainsaw_001	72-182
A0A1B0GTW7_chainsaw_001	1-5_14-199_259-428
A0A1B0GTW7_chainsaw_002	6-13_200-243
A0A1B0GTW7_chainsaw_003	462-593
A0A1B0GTW7_chainsaw_004	622-721
A0A1B0GTW7_chainsaw_005	729-787
A0A1B0GTY4_chainsaw_001	4-153
A0A1B0GTZ2_chainsaw_001	17-225
A0A1B0GU29_chainsaw_001	48-137
A0A1B0GU71_chainsaw_001	10-83
A0A1B0GUA5_chainsaw_001	31-95
A0A1B0GUA7_chainsaw_001	1-123
A0A1B0GUI7_chainsaw_001	7-64
A0A1B0GUJ8_chainsaw_001	5-98
A0A1B0GUJ8_chainsaw_002	104-133
A0A1B0GUS0_chainsaw_001	16-120
A0A1B0GUS4_chainsaw_001	2-147
A0A1B0GUU1_chainsaw_001	25-93
A0A1B0GUU1_chainsaw_002	126-197_609-663
A0A1B0GUU1_chainsaw_003	198-294
A0A1B0GUU1_chainsaw_004	308-508
A0A1B0GUU1_chainsaw_005	509-606
A0A1B0GUV1_chainsaw_001	11-77
A0A1B0GUV7_chainsaw_001	2-94
A0A1B0GUV8_chainsaw_001	16-169
A0A1B0GUX0_chainsaw_001	9-135
A0A1B0GV03_chainsaw_001	4-534
A0A1B0GV22_chainsaw_001	12-72
A0A1B0GV85_chainsaw_001	30-165
A0A1B0GV85_chainsaw_002	441-487
A0A1B0GVD1_chainsaw_001	46-138
A0A1B0GVG4_chainsaw_001	8-196
A0A1B0GVH4_chainsaw_001	53-216
A0A1B0GVH6_chainsaw_001	1-216
A0A1B0GVH7_chainsaw_001	23-319
A0A1B0GVH7_chainsaw_002	324-465
A0A1B0GVK7_chainsaw_001	9-81
A0A1B0GVM6_chainsaw_001	59-93
A0A1B0GVN3_chainsaw_001	3-219
A0A1B0GVR7_chainsaw_001	22-71
A0A1B0GVS7_chainsaw_001	78-188
A0A1B0GVX0_chainsaw_001	4-58
A0A1B0GVY4_chainsaw_001	7-67
A0A1B0GVY7_chainsaw_001	1-375_449-496
A0A1B0GVZ2_chainsaw_001	16-70
A0A1B0GVZ6_chainsaw_001	25-203
A0A1B0GVZ9_chainsaw_001	1-193
A0A1B0GW15_chainsaw_001	10-68
A0A1B0GW35_chainsaw_001	1-135
A0A1B0GW54_chainsaw_001	14-55
A0A1B0GWB2_chainsaw_001	189-261
A0A1B0GWH4_chainsaw_001	72-182
A0A1B0GWH4_chainsaw_002	183-225
A0A1B0GWK0_chainsaw_001	5-62
A0A1B0GWK0_chainsaw_002	63-127
A0A1B0GX31_chainsaw_001	24-114
A0A1B0GX49_chainsaw_001	23-113
A0A1B0GX51_chainsaw_001	24-114
A0A1B0GX56_chainsaw_001	23-114
A0A1B0GX68_chainsaw_001	24-114
A0A1B0GX78_chainsaw_001	24-114
A0A1B0GX95_chainsaw_001	23-114
A0A1B0GXF2_chainsaw_001	24-114
A0A1W2PP81_chainsaw_001	83-183
A0A1W2PP97_chainsaw_001	10-110
A0A1W2PPD8_chainsaw_001	16-303
A0A1W2PPD8_chainsaw_002	318-369
A0A1W2PPE2_chainsaw_001	83-185
A0A1W2PPE3_chainsaw_001	12-176
A0A1W2PPF3_chainsaw_001	24-79
A0A1W2PPF3_chainsaw_002	111-162
A0A1W2PPG7_chainsaw_001	2-95
A0A1W2PPH5_chainsaw_001	84-183
A0A1W2PPK0_chainsaw_001	33-94
A0A1W2PPL8_chainsaw_001	84-185
A0A1W2PPM1_chainsaw_001	37-99
A0A1W2PPW3_chainsaw_001	84-184
A0A1W2PQ09_chainsaw_001	84-185
A0A1W2PQ27_chainsaw_001	7-39_96-193
A0A1W2PQ27_chainsaw_002	42-91
A0A1W2PQ64_chainsaw_001	7-39_96-193
A0A1W2PQ64_chainsaw_002	42-91
A0A1W2PQ72_chainsaw_001	14-122
A0A1W2PQ73_chainsaw_001	28-173
A0A1W2PQC6_chainsaw_001	7-39_96-193
A0A1W2PQC6_chainsaw_002	42-91
A0A1W2PQD8_chainsaw_001	7-39_96-193
A0A1W2PQD8_chainsaw_002	42-91
A0A1W2PQF6_chainsaw_001	7-98
A0A1W2PQF6_chainsaw_002	99-196
A0A1W2PQJ5_chainsaw_001	7-39_96-193
A0A1W2PQJ5_chainsaw_002	42-91
A0A1W2PQL4_chainsaw_001	18-194
A0A1W2PQL4_chainsaw_002	213-269
A0A1W2PQL4_chainsaw_003	270-376
A0A1W2PQM1_chainsaw_001	30-122
A0A1W2PQM1_chainsaw_002	123-213
A0A1W2PQU2_chainsaw_001	3-75
A0A1W2PR19_chainsaw_001	3-83
A0A1W2PR19_chainsaw_002	84-219
A0A1W2PR48_chainsaw_001	148-440
A0A1W2PR64_chainsaw_001	83-185
A0A1W2PR75_chainsaw_001	7-39_96-193
A0A1W2PR75_chainsaw_002	41-91
A0A1W2PR82_chainsaw_001	80-244
A0A1W2PR95_chainsaw_001	14-229
A0A1W2PR95_chainsaw_002	251-328
A0A1W2PRE2_chainsaw_001	4-73
A0A1W2PRG0_chainsaw_001	3-83
A0A1W2PRG0_chainsaw_002	84-219
A0A1W2PRN1_chainsaw_001	16-153
A0A1W2PRN6_chainsaw_001	84-185
A0A1W2PRP0_chainsaw_001	25-122
A0A1W2PRS3_chainsaw_001	7-100
A0A1W2PRS3_chainsaw_002	101-197
A0A1W2PRV1_chainsaw_001	84-183
A0A1W2PS18_chainsaw_001	60-149
A0A286YEU6_chainsaw_001	11-309
A0A286YF18_chainsaw_001	35-105
A0A286YF58_chainsaw_001	5-260
A0A286YF60_chainsaw_001	41-70
A0A2R8Y2Y2_chainsaw_001	44-146
A0A2R8Y4L2_chainsaw_001	11-96
A0A2R8Y4L2_chainsaw_002	106-194
A0A2R8Y4L6_chainsaw_001	20-321
A0A2R8Y4M4_chainsaw_001	26-97
A0A2R8Y4M4_chainsaw_002	117-200
A0A2R8Y4Y8_chainsaw_001	9-100
A0A2R8Y619_chainsaw_001	34-121
A0A2R8Y7D0_chainsaw_001	14-110
A0A2R8YCJ5_chainsaw_001	3-77
A0A2R8YCY7_chainsaw_001	7-99
A0A2R8YCY7_chainsaw_002	100-197
A0A2R8YE69_chainsaw_001	22-502
A0A2R8YED5_chainsaw_001	11-307
A0A2R8YEH3_chainsaw_001	10-304
A0A2R8YFL7_chainsaw_001	3-116_156-172
A0A2R8YFM6_chainsaw_001	25-119_143-165
A0A2R8YFR7_chainsaw_001	1097-1376
A0A2R8YFR7_chainsaw_002	1377-1483
A0A2U3TZM8_chainsaw_001	24-142
A0A376A8Z9_chainsaw_001	30-122
A0A376A8Z9_chainsaw_002	123-221
A0A3B3IRS2_chainsaw_001	8-103
A0A3B3IRV3_chainsaw_001	11-87
A0A3B3IRV3_chainsaw_002	94-169
A0A3B3IS91_chainsaw_001	53-142
A0A3B3IT33_chainsaw_001	3-155
A0A3B3IT33_chainsaw_002	165-260
A0A3B3IT33_chainsaw_003	278-451
A0A3B3IT45_chainsaw_001	11-310
A0A3B3IT52_chainsaw_001	39-133
A0A3B3IU63_chainsaw_001	17-133
A0A411D538_chainsaw_001	1-74
A0A494BZU4_chainsaw_001	3-169
A0A494C071_chainsaw_001	5-102
A0A494C071_chainsaw_002	195-224_226-230_232-232
A0A494C071_chainsaw_003	1758-1900_2049-2051
A0A494C071_chainsaw_004	1909-2048
A0A494C086_chainsaw_001	193-395
A0A494C0N9_chainsaw_001	5-193
A0A494C0Y3_chainsaw_001	5-193
A0A494C0Z2_chainsaw_001	106-263
A0A494C103_chainsaw_001	32-131
A0A494C176_chainsaw_001	1-52
A0A494C191_chainsaw_001	106-263
A0A494C1R9_chainsaw_001	75-160
A0A494C1R9_chainsaw_002	164-293
A0A499FJF3_chainsaw_001	4-265
A0A539_chainsaw_001	23-113
A0A576_chainsaw_001	23-113
A0A577_chainsaw_001	23-113
A0A578_chainsaw_001	23-113
A0A584_chainsaw_001	24-114
A0A589_chainsaw_001	23-113
A0A597_chainsaw_001	23-113
A0A599_chainsaw_001	23-113
A0A5A2_chainsaw_001	23-113
A0A5A6_chainsaw_001	24-114
A0A5B0_chainsaw_001	24-114
A0A5B6_chainsaw_001	23-113
A0A5B7_chainsaw_001	1-110
A0A5B9_chainsaw_001	2-125
A0A5F9Z9Y6_chainsaw_001	7-99
A0A5F9Z9Y6_chainsaw_002	100-197
A0A5F9ZH02_chainsaw_001	8-61
A0A5F9ZH88_chainsaw_001	7-99
A0A5F9ZH88_chainsaw_002	100-197
A0A5F9ZHS0_chainsaw_001	15-57
A0A5K1VDZ0_chainsaw_001	30-122
A0A5K1VDZ0_chainsaw_002	123-221
A0A6I8PU40_chainsaw_001	9-150
A0A6Q8PGL7_chainsaw_001	4-127
A0A6Q8PHS2_chainsaw_001	13-44
A0A7I2V3R4_chainsaw_001	53-155
A0A7I2V3R4_chainsaw_002	220-312
A0A7P0TAN4_chainsaw_001	26-168_451-622
A0A7P0TAN4_chainsaw_002	214-450
A0A7P0TBJ1_chainsaw_001	3-145
A0A804HLA8_chainsaw_001	2-45
A0A8I5KQE6_chainsaw_001	6-202
A0A8I5KTY6_chainsaw_001	19-179
A0A8I5KTY6_chainsaw_002	184-263
A0A8I5KW96_chainsaw_001	7-212
A0A8I5KXM2_chainsaw_001	20-132
A0A8I5KY20_chainsaw_001	1-215
A0A8Q3WKH5_chainsaw_001	20-196
A0A8Q3WLD3_chainsaw_001	1-55
A0A8V8TLL3_chainsaw_001	250-287
A0A8V8TLY5_chainsaw_001	35-88
A0A8V8TMC4_chainsaw_001	6-40
A0A8V8TMC4_chainsaw_002	63-232
A0A9L9PY65_chainsaw_001	3-88
A0AAG2SUK6_chainsaw_001	27-99
A0AAG2SVG9_chainsaw_001	52-99
A0AAG2SVG9_chainsaw_002	142-373
A0AAG2SVG9_chainsaw_003	469-583
A0AAG2SVT6_chainsaw_001	3-95
A0AAG2SWI5_chainsaw_001	12-105_433-542_605-672
A0AAG2SWI5_chainsaw_002	109-203_543-604_708-776
A0AAG2SWI5_chainsaw_003	208-324
A0AAG2SWI5_chainsaw_004	326-429
A0AAG2SWI5_chainsaw_005	780-894
A0AAG2SWI5_chainsaw_006	898-1305
A0AAG2SWI5_chainsaw_007	1306-1432
A0AAG2SWP8_chainsaw_001	50-120
A0AAG2SWV4_chainsaw_001	58-476
A0AAG2SWV4_chainsaw_002	479-616
A0AAG2SXN7_chainsaw_001	58-113_554-592
A0AAG2SXN7_chainsaw_002	114-244_347-551
A0AAG2SXN7_chainsaw_003	245-343
A0AAG2SXZ4_chainsaw_001	3-97
A0AAG2T1W8_chainsaw_001	6-117
A0AAG2TCD0_chainsaw_001	22-495
A0AAG2TCG9_chainsaw_001	1-173
A0AAG2TG10_chainsaw_001	17-225
A0AAG2TJA1_chainsaw_001	279-535
A0AAG2TTP8_chainsaw_001	37-207
A0AAG2TTZ7_chainsaw_001	1-449
A0AAG2TU05_chainsaw_001	29-123
A0AAG2TU48_chainsaw_001	5-36
A0AAG2TU48_chainsaw_002	43-157
A0AAG2TU67_chainsaw_001	6-117
A0AAG2TU83_chainsaw_001	6-118
A0AAG2TUN3_chainsaw_001	11-414
A0AAG2TUP4_chainsaw_001	6-118
A0AAG2TUS7_chainsaw_001	43-157
A0AAG2TUV1_chainsaw_001	12-68
A0AAG2TV02_chainsaw_001	22-118
A0AAG2TV42_chainsaw_001	6-118
A0AAG2TVE0_chainsaw_001	22-116
A0AAG2TVH3_chainsaw_001	3-89
A0AAG2TVJ1_chainsaw_001	3-383
A0AAG2TVR5_chainsaw_001	106-480
A0AAG2TVR6_chainsaw_001	1-45
A0AAG2TWA4_chainsaw_001	22-223
A0AAG2TWV3_chainsaw_001	39-118
A0AAG2UUX9_chainsaw_001	33-178
A0AAG2UUX9_chainsaw_002	183-357
A0AAG2UUX9_chainsaw_003	372-542
A0AAG2UUX9_chainsaw_004	578-671
A0AAG2UWQ9_chainsaw_001	35-102
A0AAG2UWQ9_chainsaw_002	258-424
A0AAG2UWQ9_chainsaw_003	431-506
A0AAG2UWQ9_chainsaw_004	533-614
A0AAG2UWQ9_chainsaw_005	624-779
A0AAG2UXD8_chainsaw_001	10-679_682-704
A0AAG2UXJ6_chainsaw_001	7-162
A0AAG2UXK7_chainsaw_001	10-704
A0AAG2UXS2_chainsaw_001	10-681_684-692_695-695_699-704
A0AAG2UXZ5_chainsaw_001	221-415
A0AAG2UXZ5_chainsaw_002	1207-1210_1212-1213_1327-1510
A0AAG2UXZ5_chainsaw_003	1214-1247
A0AAQ5BGE0_chainsaw_001	21-133_311-333
A0AAQ5BGL7_chainsaw_001	16-56
A0AAQ5BHU3_chainsaw_001	5-167
A0AAQ5BHU3_chainsaw_002	168-360
A0AAQ5BHU3_chainsaw_003	371-508
A0AAQ5BHU3_chainsaw_004	509-767
A0AAQ5BHU3_chainsaw_005	789-1111
A0AAQ5BHU3_chainsaw_006	1123-1351
A0AAQ5BIF5_chainsaw_001	5-163_289-309
A0AAQ5BIG5_chainsaw_001	75-177_199-227
A0AAQ5BIG5_chainsaw_002	334-512
A0AAQ5BIG5_chainsaw_003	521-606
A0ABB0MV19_chainsaw_001	7-532
A0ABB0MV19_chainsaw_002	696-764
A0ABB0MV24_chainsaw_001	14-62
A0ABB0MV27_chainsaw_001	14-97
A0ABB0MV46_chainsaw_001	11-62
A0ABB0MV50_chainsaw_001	14-62
A0ABB0MV52_chainsaw_001	28-161
A0ABB0MVD7_chainsaw_001	191-191_1395-1398_1404-1432
A0ABB0MVE3_chainsaw_001	191-191_1397-1398_1402-1431
A0ABB0MVF2_chainsaw_001	298-300_302-303_1238-1285
A0AUZ9_chainsaw_001	213-377_613-942
A0AUZ9_chainsaw_002	378-487
A0AV02_chainsaw_001	27-29_33-412_587-590_595-595
A0AV02_chainsaw_002	455-504
A0AV02_chainsaw_003	566-586_591-594_596-656
A0AV96_chainsaw_001	31-146
A0AV96_chainsaw_002	152-235_321-357
A0AV96_chainsaw_003	239-315
A0AVF1_chainsaw_001	30-550
A0AVG0_chainsaw_001	3-89
A0AVI2_chainsaw_001	2-147
A0AVI2_chainsaw_002	165-316
A0AVI2_chainsaw_003	326-502_578-763
A0AVI2_chainsaw_004	503-577_764-849_957-1069
A0AVI2_chainsaw_005	853-952
A0AVI2_chainsaw_006	1074-1231
A0AVI2_chainsaw_007	1241-1353_1452-1459
A0AVI2_chainsaw_008	1361-1451_1477-1701
A0AVI2_chainsaw_009	1719-1914
A0AVI2_chainsaw_010	1943-1990
A0AVI4_chainsaw_001	4-116
A0AVI4_chainsaw_002	123-246
A0AVI4_chainsaw_003	256-360
A0AVK6_chainsaw_001	118-345
A0AVT1_chainsaw_001	41-207_383-427
A0AVT1_chainsaw_002	215-296
A0AVT1_chainsaw_003	298-382
A0AVT1_chainsaw_004	433-617_891-937
A0AVT1_chainsaw_005	624-888
A0AVT1_chainsaw_006	943-1046
A0FGR8_chainsaw_001	109-179
A0FGR8_chainsaw_002	185-379
A0FGR8_chainsaw_003	385-529
A0FGR8_chainsaw_004	536-657
A0FGR8_chainsaw_005	756-910
A0FGR9_chainsaw_001	30-103
A0FGR9_chainsaw_002	119-300
A0FGR9_chainsaw_003	306-428
A0FGR9_chainsaw_004	444-584
A0FGR9_chainsaw_005	725-878
A0JD32_chainsaw_001	23-115
A0JD36_chainsaw_001	22-114
A0JD37_chainsaw_001	20-112
A0JLT2_chainsaw_001	83-166
A0JNW5_chainsaw_001	1-411_451-585
A0JNW5_chainsaw_002	599-748_792-877_1178-1360
A0JP26_chainsaw_001	52-100
